ID	Language_name	Language_ID	Parameter_name	Parameter_ID	Value	Form	Segments	Prosodic_structure	Motivation_structure	Source	Comment
936	Achang_Longchuan	long1372	dirty	1230	ək³⁵	ək³⁵	ə k ³⁵	n c t	dirty	TBL	
938	Atsi	zaiw1240	dirty	1230	tʃhaʔ⁵⁵	tʃhaʔ⁵⁵	tʃʰ a ʔ ⁵⁵	i n c t	dirty	TBL	
940	Bola	bela1241	dirty	1230	lu̱³⁵	lu̱³⁵	l ṵ ³⁵	i n t	dirty	TBL	
942	Lashi	lash1242	dirty	1230	a³¹san⁵⁵	a³¹san⁵⁵	a ³¹ + s a n ⁵⁵	n t + i n c t	a-prefix dirty	TBL	
943	Maru	maru1248	dirty	1230	la̱u³⁵	la̱u³⁵	l a̰ u ³⁵	i n N t	dirty	TBL	
944	Xiandao	xian1248	dirty	1230	ɤk³⁵	ɤk³⁵	ɤ k ³⁵	n c t	dirty	TBL	
7113	Old_Burmese	oldb1234	dirty	1230	ñac◦pat	ñac◦pat	nʲ a ts + p a t	i n c + i n c			
1039	Atsi	zaiw1240	dry	1398	xui⁵⁵	xui⁵⁵	x u i ⁵⁵	i n N t	dry	TBL	
1037	Achang_Longchuan	long1372	dry	1398	səʔ⁵⁵	səʔ⁵⁵	s ə ʔ ⁵⁵	i n c t	dry	TBL	
1043	Lashi	lash1242	dry	1398	kju̱ːʔ⁵⁵	kju̱ːʔ⁵⁵	k j ṵː ʔ ⁵⁵	i m n c t	dry	TBL	
1044	Maru	maru1248	dry	1398	fai⁵⁵	fai⁵⁵	f a i ⁵⁵	i n N t	dry	TBL	
1046	Xiandao	xian1248	dry	1398	tsui³⁵	tsui³⁵	ts u i ³⁵	i n N t	dry	TBL	
5416	Rangoon	nucl1310	dry	1398	ʨʰɑuʔ⁴	ʨʰɑuʔ⁴	tɕʰ ɑ u ʔ ⁴	i n N c t	dry	TBL	
1040	Bola	bela1241	dry	1398	kja̱uʔ⁵⁵	kja̱uʔ⁵⁵	k j a̰ u ʔ ⁵⁵	i m n N c t	dry	TBL	
7115	Old_Burmese	oldb1234	dry	1398	khro₂k	khro₂k	kʰ r ʊ k	i m n c	dry		
6144	Achang_Longchuan	long1372	early	672	nɔʔ⁵⁵	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵	i n c t	early	TBL	
6202	Maru	maru1248	early	672	nɔʔ⁵⁵	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵	i n c t	early	TBL	
6239	Rangoon	nucl1310	early	672	sɔ⁵⁵	sɔ⁵⁵	s ɔ ⁵⁵	i n t	early	TBL	
6307	Atsi	zaiw1240	early	672	noʔ²¹	noʔ²¹	n o ʔ ²¹	i n c t	early	TBL	
6474	Lashi	lash1242	early	672	nɔːʔ⁵⁵	nɔːʔ⁵⁵	n ɔː ʔ ⁵⁵	i n c t	early	TBL	
6536	Xiandao	xian1248	early	672	nɔʔ⁵⁵	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵	i n c t	early	TBL	
6604	Bola	bela1241	early	672	naʔ⁵⁵	naʔ⁵⁵	n a ʔ ⁵⁵	i n c t	early	TBL	
1152	Atsi	zaiw1240	eight	1705	ʃit⁵⁵	ʃit⁵⁵	ʃ i t ⁵⁵	i n c t	eight	TBL	
1153	Bola	bela1241	eight	1705	ʃɛʔ⁵⁵	ʃɛʔ⁵⁵	ʃ ɛ ʔ ⁵⁵	i n c t	eight	TBL	
1156	Lashi	lash1242	eight	1705	ʃɛ̱t⁵⁵	ʃɛ̱t⁵⁵	ʃ ɛ̰ t ⁵⁵	i n c t	eight	TBL	
1157	Maru	maru1248	eight	1705	ʃɛʔ⁵⁵	ʃɛʔ⁵⁵	ʃ ɛ ʔ ⁵⁵	i n c t	eight	TBL	
1158	Xiandao	xian1248	eight	1705	çɛʈ⁵⁵	çɛʈ⁵⁵	ç ɛ ʈ ⁵⁵	i n c t	eight	TBL	
5575	Rangoon	nucl1310	eight	1705	ɕiʔ⁴	ɕiʔ⁴	ɕ i ʔ ⁴	i n c t	eight	TBL	
1150	Achang_Longchuan	long1372	eight	1705	ɕet⁵⁵	ɕet⁵⁵	ɕ e t ⁵⁵	i n c t	eight	TBL	
7117	Old_Burmese	oldb1234	eight	1705	rhyat	rhyat	r̥ j a t	i m n c			
1241	Achang_Longchuan	long1372	far	1406	ve³¹	ve³¹	v e ³¹	i n t	far	TBL	
5272	Rangoon	nucl1310	far	1406	we⁵⁵	we⁵⁵	w e ⁵⁵	i n t	far	TBL	
1244	Bola	bela1241	far	1406	vɛ³¹	vɛ³¹	v ɛ ³¹	i n t	far	TBL	
1247	Lashi	lash1242	far	1406	vɛː³³	vɛː³³	v ɛː ³³	i n t	far	TBL	
1248	Maru	maru1248	far	1406	va³⁵	va³⁵	v a ³⁵	i n t	far	TBL	
1249	Xiandao	xian1248	far	1406	vɛ³¹	vɛ³¹	v ɛ ³¹	i n t	far	TBL	
7119	Old_Burmese	oldb1234	far	1406	viyḥ	viyḥ	w i j ⁵⁵	i n c t			
1243	Atsi	zaiw1240	far	1406	ve²¹	ve²¹	v e ²¹	i n t	far	TBL	
7121	Old_Burmese	oldb1234	firewood	10	thaṅḥ	thaṅḥ	tʰ a ŋ ⁵⁵	i n c t			
6182	Maru	maru1248	firewood	10	tʰɔ̃³⁵	tʰɔ̃³⁵	tʰ ɔ̃ ∼ ³⁵	i n c t	firewood	TBL	
6223	Lashi	lash1242	firewood	10	tʰaŋ⁵⁵	tʰaŋ⁵⁵	tʰ a ŋ ⁵⁵	i n c t	firewood	TBL	
6281	Xiandao	xian1248	firewood	10	tʰɔŋ³¹	tʰɔŋ³¹	tʰ ɔ ŋ ³¹	i n c t	firewood	TBL	
6346	Bola	bela1241	firewood	10	tʰɔ̃³⁵	tʰɔ̃³⁵	tʰ ɔ̃ ∼ ³⁵	i n c t	firewood	TBL	
6428	Achang_Longchuan	long1372	firewood	10	tʰuaŋ³¹	tʰuaŋ³¹	tʰ u a ŋ ³¹	i m n c t	firewood	TBL	
6501	Rangoon	nucl1310	firewood	10	tʰĩ⁵⁵	tʰĩ⁵⁵	tʰ ĩ ∼ ⁵⁵	i n c t	firewood	TBL	
6576	Atsi	zaiw1240	firewood	10	tʰaŋ²¹	tʰaŋ²¹	tʰ a ŋ ²¹	i n c t	firewood	TBL	
1421	Achang_Longchuan	long1372	five	493	ŋɔ³¹	ŋɔ³¹	ŋ ɔ ³¹	i n t	five	TBL	
1424	Bola	bela1241	five	493	ŋa³¹	ŋa³¹	ŋ a ³¹	i n t	five	TBL	
1428	Maru	maru1248	five	493	ŋɔ⁵⁵	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	i n t	five	TBL	
1423	Atsi	zaiw1240	five	493	ŋo²¹	ŋo²¹	ŋ o ²¹	i n t	five	TBL	
1427	Lashi	lash1242	five	493	ŋ³³	ŋ³³	ŋ ³³	n t	five	TBL	
5524	Rangoon	nucl1310	five	493	ŋɑ⁵⁵	ŋɑ⁵⁵	ŋ ɑ ⁵⁵	i n t	five	TBL	
1429	Xiandao	xian1248	five	493	ŋɔ³¹	ŋɔ³¹	ŋ ɔ ³¹	i n t	five	TBL	
7123	Old_Burmese	oldb1234	five	493	ṅāḥ	ṅāḥ	ŋ a ⁵⁵	i n t	five		
1534	Bola	bela1241	four	1500	məi³¹	məi³¹	m ə i ³¹	i n N t	four	TBL	
5418	Rangoon	nucl1310	four	1500	le⁵⁵	le⁵⁵	l e ⁵⁵	i n t	four	TBL	
1531	Achang_Longchuan	long1372	four	1500	mi³¹	mi³¹	m i ³¹	i n t	four	TBL	
1533	Atsi	zaiw1240	four	1500	mji²¹	mji²¹	m j i ²¹	i m n t	four	TBL	
1539	Xiandao	xian1248	four	1500	mi⁵⁵	mi⁵⁵	m i ⁵⁵	i n t	four	TBL	
1538	Maru	maru1248	four	1500	pjik³¹	pjik³¹	p j i k ³¹	i m n c t	four	TBL	
7125	Old_Burmese	oldb1234	four	1500	liyḥ	liyḥ	l i j ⁵⁵	i n c t	four		
1537	Lashi	lash1242	four	1500	mei³³	mei³³	m e i ³³	i n N t	four	TBL	
5372	Rangoon	nucl1310	full	1429	pje⁵³	pje⁵³	p j e ⁵³	i m n t	full	TBL	
1581	Achang_Longchuan	long1372	full	1429	pʐəŋ³⁵	pʐəŋ³⁵	p ʐ ə ŋ ³⁵	i m n c t	full	TBL	
1584	Atsi	zaiw1240	full	1429	pjiŋ⁵⁵	pjiŋ⁵⁵	p j i ŋ ⁵⁵	i m n c t	full	TBL	
1586	Bola	bela1241	full	1429	pjaŋ³⁵	pjaŋ³⁵	p j a ŋ ³⁵	i m n c t	full	TBL	
1589	Lashi	lash1242	full	1429	pjəːŋ⁵⁵	pjəːŋ⁵⁵	p j əː ŋ ⁵⁵	i m n c t	full	TBL	
1590	Maru	maru1248	full	1429	pjaŋ⁵⁵	pjaŋ⁵⁵	p j a ŋ ⁵⁵	i m n c t	full	TBL	
1592	Xiandao	xian1248	full	1429	pɯŋ³⁵	pɯŋ³⁵	p ɯ ŋ ³⁵	i n c t	full	TBL	
7127	Old_Burmese	oldb1234	full	1429	plañʔ	plañʔ	p l a nʲ ⁵³	i m n c t			
5502	Rangoon	nucl1310	good	1035	kɑ̃u⁵⁵	kɑ̃u⁵⁵	k ɑ̃ u ∼ ⁵⁵	i n N c t	good	TBL	
1655	Atsi	zaiw1240	good	1035	ke⁵¹	ke⁵¹	k e ⁵¹	i n t	good	TBL	
1656	Bola	bela1241	good	1035	kai⁵⁵	kai⁵⁵	k a i ⁵⁵	i n N t	good	TBL	
1659	Lashi	lash1242	good	1035	kɛː³¹	kɛː³¹	k ɛː ³¹	i n t	good	TBL	
1660	Maru	maru1248	good	1035	kai³¹	kai³¹	k a i ³¹	i n N t	good	TBL	
1661	Xiandao	xian1248	good	1035	cɛ⁵⁵	cɛ⁵⁵	ɕ ɛ ⁵⁵	i n t	good	TBL	
1653	Achang_Longchuan	long1372	good	1035	tɕi⁵⁵	tɕi⁵⁵	tɕ i ⁵⁵	i n t	good	TBL	
7129	Old_Burmese	oldb1234	good	1035	ko₂ṅḥ	ko₂ṅḥ	k ʊ ŋ ⁵⁵	i n c t			
1684	Achang_Longchuan	long1372	green	1425	ȵau⁵⁵	ȵau⁵⁵	nʲ a u ⁵⁵	i n N t	green	TBL	
1686	Atsi	zaiw1240	green	1425	ŋjui⁵¹	ŋjui⁵¹	ŋ j u i ⁵¹	i m n N t	blue-green	TBL	
1687	Bola	bela1241	green	1425	ŋjuŋ⁵⁵	ŋjuŋ⁵⁵	ŋ j u ŋ ⁵⁵	i m n c t	blue-green	TBL	
1690	Lashi	lash1242	green	1425	ŋjaːu³¹	ŋjaːu³¹	ŋ j aː u ³¹	i m n N t	green	TBL	
1691	Maru	maru1248	green	1425	ŋjuk³¹	ŋjuk³¹	ŋ j u k ³¹	i m n c t	blue-green	TBL	
1692	Xiandao	xian1248	green	1425	ɲau⁵⁵	ɲau⁵⁵	ɲ a u ⁵⁵	i n N t	blue-green	TBL	
7131	Old_Burmese	oldb1234	green	1425	cimḥ	cimḥ	ts i m ⁵⁵	i n c t			
7133	Old_Burmese	oldb1234	green	1425	ñuiv	ñuiv	nʲ ə w	i n c			
5614	Rangoon	nucl1310	green	1425	sẽ⁵⁵	sẽ⁵⁵	s ẽ ∼ ⁵⁵	i n c t	green	TBL	
6156	Achang_Longchuan	long1372	hard	1884	kʐak⁵⁵	kʐak⁵⁵	k ʐ a k ⁵⁵	i m n c t	hard	TBL	
6210	Maru	maru1248	hard	1884	ɣɔ̃³¹	ɣɔ̃³¹	ɣ ɔ̃ ∼ ³¹	i n c t	hard	TBL	
6262	Atsi	zaiw1240	hard	1884	tʰan⁵¹	tʰan⁵¹	tʰ a n ⁵¹	i n c t	hard	TBL	
6375	Rangoon	nucl1310	hard	1884	mɑ²²	mɑ²²	m ɑ ²²	i n t	hard	TBL	
6483	Lashi	lash1242	hard	1884	kju̱ːŋ³³	kju̱ːŋ³³	k j ṵː ŋ ³³	i m n c t	hard	TBL	
6547	Xiandao	xian1248	hard	1884	kʐak⁵⁵	kʐak⁵⁵	k ʐ a k ⁵⁵	i m n c t	hard	TBL	
6613	Bola	bela1241	hard	1884	ɣɔ̃⁵⁵	ɣɔ̃⁵⁵	ɣ ɔ̃ ∼ ⁵⁵	i n c t	hard	TBL	
7135	Old_Burmese	oldb1234	hard	1884	mā	mā	m a ²²	i n t			
6160	Maru	maru1248	he or she [third person singular]	262	jɔ̃³⁵	jɔ̃³⁵	j ɔ̃ ∼ ³⁵	i n c t	he	TBL	
6213	Rangoon	nucl1310	he or she [third person singular]	262	tθu²²	tθu²²	tθ u ²²	i n t	he	TBL	
6264	Atsi	zaiw1240	he or she [third person singular]	262	ja̱ŋ²¹	ja̱ŋ²¹	j a̰ ŋ ²¹	i n c t	he	TBL	
6437	Lashi	lash1242	he or she [third person singular]	262	ŋjaŋ³³	ŋjaŋ³³	ŋ j a ŋ ³³	i m n c t	he	TBL	
6552	Bola	bela1241	he or she [third person singular]	262	jɔ̃³¹	jɔ̃³¹	j ɔ̃ ∼ ³¹	i n c t	he	TBL	
6635	Achang_Longchuan	long1372	he or she [third person singular]	262	ȵ̥aŋ³¹	ȵ̥aŋ³¹	n̥ʲ a ŋ ³¹	i n c t	he	TBL	
6492	Xiandao	xian1248	he or she [third person singular]	262	ɲ̊aŋ³¹	ɲ̊aŋ³¹	ɲ̊ a ŋ ³¹	i n c t	he-that	TBL	
5664	Rangoon	nucl1310	heavy	1210	le⁵⁵	le⁵⁵	l e ⁵⁵	i n t	heavy	TBL	
1841	Achang_Longchuan	long1372	heavy	1210	li³¹	li³¹	l i ³¹	i n t	heavy	TBL	
1843	Atsi	zaiw1240	heavy	1210	lai²¹	lai²¹	l a i ²¹	i n N t	heavy	TBL	
1844	Bola	bela1241	heavy	1210	li³¹	li³¹	l i ³¹	i n t	heavy	TBL	
1847	Lashi	lash1242	heavy	1210	laːi³³	laːi³³	l aː i ³³	i n N t	heavy	TBL	
1848	Maru	maru1248	heavy	1210	la³⁵	la³⁵	l a ³⁵	i n t	heavy	TBL	
1849	Xiandao	xian1248	heavy	1210	lai³¹	lai³¹	l a i ³¹	i n N t	heavy	TBL	
7137	Old_Burmese	oldb1234	heavy	1210	liyḥ	liyḥ	l i j ⁵⁵	i n c t	heavy		
5491	Rangoon	nucl1310	here	136	i²²◦twĩ²²	i²²◦twĩ²²	i ²² + t w ĩ ∼ ²²	n t + i m n c t	this2 on	TBL	bad concept
1853	Achang_Longchuan	long1372	here	136	xai⁵⁵thɔʔ⁵⁵	xai⁵⁵thɔʔ⁵⁵	x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵	i n N t + i n c t	this dir2	TBL	bad concept
1856	Atsi	zaiw1240	here	136	xji⁵¹ma⁵⁵	xji⁵¹ma⁵⁵	x j i ⁵¹ + m a ⁵⁵	i m n t + i n t	this on	TBL	bad concept
1858	Bola	bela1241	here	136	tʃhə̆⁵⁵mɛ̃⁵⁵--	tʃhə̆⁵⁵mɛ̃⁵⁵--	tʃʰ ə̆ ⁵⁵ + m ɛ̃ ∼ ⁵⁵	i n t + i n c t	this on	TBL	bad concept
1860	Lashi	lash1242	here	136	xjɛ³³mŏ³³	xjɛ³³mŏ³³	x j ɛ ³³ + m ŏ ³³	i m n t + i n t	this on	TBL	bad concept
1861	Maru	maru1248	here	136	tʃhɛ̆³¹mɛ³¹	tʃhɛ̆³¹mɛ³¹	tʃʰ ɛ̆ ³¹ + m ɛ ³¹	i n t + i n t	this on	TBL	bad concept
1863	Xiandao	xian1248	here	136	xai⁵⁵thɔʔ⁵⁵	xai⁵⁵thɔʔ⁵⁵	x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵	i n N t + i n c t	this-1 up-on	TBL	bad concept
7139	Old_Burmese	oldb1234	here	136	sañ◦to₁ṅ	sañ◦to₁ṅ	s a nʲ + t o ŋ	i n c + i n c	this inside		
4242	Achang_Longchuan	long1372	high / tall	1265	m̥ʐaŋ⁵⁵	m̥ʐaŋ⁵⁵	m̥ ʐ a ŋ ⁵⁵	i m n c t	high	TBL	
